query_number,results,status,time,mem[kB]
234,100000,OK,215,15400484
235,10651,OK,291,15400484
236,1583,OK,84,15400484
237,2137,OK,152,15400484
238,903,OK,10,15400484
239,1174,OK,63,15400484
240,23043,OK,713,15402532
241,38974,OK,1238,15404580
242,57427,OK,1347,15408676
243,100000,OK,585,15412772
244,3079,OK,123,15412772
245,2692,OK,94,15412772
246,100000,OK,660,15414820
247,63946,OK,756,15420556
248,31198,OK,443,15422604
249,100000,OK,242,15422604
250,100000,OK,339,15426700
251,6971,OK,123,15426700
252,267,OK,34,15426700
253,100000,OK,194,15426700
254,40411,OK,422,15428748
255,16737,OK,290,15428748
256,100000,OK,999,15432844
257,100000,OK,715,15434892
258,328,OK,39,15434892
259,100000,OK,311,15438988
260,57782,OK,379,15441036
261,853,OK,31,15441036
262,791,OK,7,15441036
263,5457,OK,79,15441036
264,17017,OK,562,15404208
265,100000,OK,1038,15406256
266,100000,OK,164,15406256
267,1984,OK,52,15406256
268,42,OK,6,15406256
269,1827,OK,10,15406256
270,415,OK,23,15406256
271,861,OK,28,15406256
272,570,OK,7,15406256
273,14544,OK,27,15406256
274,5924,OK,98,15406256
275,100000,OK,364,15411664
276,100000,OK,530,15413712
277,6131,OK,60,15413712
278,10685,OK,192,15413712
279,3665,OK,91,15415760
280,1514,OK,92,15415760
281,8841,OK,265,15415760
282,17465,OK,181,15417808
283,4895,OK,102,15417808
284,134,OK,6,15417808
285,9210,OK,84,15417808
286,21463,OK,331,15417808
287,2356,OK,45,15419856
288,23956,OK,54,15419856
289,3353,OK,24,15419856
290,100000,OK,227,15419856
291,57426,OK,197,15419856
292,6660,OK,21,15419856
293,7348,OK,158,15419856
294,3078,OK,12,15419856
295,31197,OK,71,15419856
296,100000,OK,250,15419856
297,1783,OK,29,15419856
298,12106,OK,24,15419856
299,8277,OK,117,15419856
300,89383,OK,384,15421904
301,12385,OK,94,15383600
302,100000,OK,178,15386228
303,1591,OK,9,15386228
304,100000,OK,856,15390324
305,23955,OK,53,15390324
306,49734,OK,200,15390324
307,46,OK,58208,15947380
308,100000,OK,145,15947380
309,42300,OK,448,15949428
310,89383,OK,195,15949428
311,100000,OK,201,15949428
312,57781,OK,144,15949428
313,100000,OK,604,15951476
314,100000,OK,791,15992568
315,100000,OK,784,16017688
316,2680,OK,13,16017688
317,100000,OK,180,16017688
318,8135,OK,217,16032408
319,100000,OK,1054,16044952
320,1,OK,33,16044952
321,100000,OK,289,16049048
322,100000,OK,856,16057240
323,128,OK,33,16057240
324,959,OK,38,16057240
325,100000,OK,1970,16069636
326,107,OK,46,16069636
327,316,OK,60,16069636
328,1051,OK,17,16069636
329,383,OK,39,16069636
330,116,OK,7,16069636
331,997,OK,31,16071684
332,206,OK,10,16071684
333,96,OK,8,16071684
334,100000,OK,1062,16077828
335,1142,OK,51,16077828
336,409,OK,9,16077828
337,268,OK,8,16077828
338,100000,OK,428,16077828
339,100000,OK,839,16086020
340,235,OK,10,16086020
341,100000,OK,1990,16092164
342,26206,OK,499,16094212
343,13517,OK,77,16094212
344,3182,OK,18,16094212
345,28872,OK,206,16094212
346,100000,OK,441,16094212
347,100000,OK,629,16108548
348,75,OK,7,16108548
349,100000,OK,466,16112644
350,100000,OK,99,16112644
351,100000,OK,117,16112644
352,100000,OK,198,16112644
353,100000,OK,108,16114692
354,100000,OK,102,16114692
355,100000,OK,109,16114692
356,100000,OK,226,16116740
357,100000,OK,159,16120836
358,100000,OK,311,16120836
359,192,OK,463,16122884
360,10047,OK,914,16126220
361,14707,OK,917,16132364
362,1704,OK,102,16132364
363,100000,OK,4439,16161036
364,100000,OK,328,16165132
365,53,OK,129,16165132
366,100000,OK,855,16169228
367,601,OK,12,16169228
368,5856,OK,26,16169228
369,100000,OK,403,16169228
370,4086,OK,21,16169228
371,30030,OK,103,16169228
372,239,OK,8,16169228
373,100000,OK,283,16169228
374,789,OK,11,16169228
375,269,OK,17,16169228
376,900,OK,9,16169228
377,13,OK,34,16169228
378,59,OK,12,16169228
379,289,OK,6,16169228
380,100000,OK,234,16169228
381,311,OK,9,16169228
382,891,OK,12,16169228
383,57,OK,6,16169228
384,537,OK,7,16169228
385,1006,OK,10,16169228
386,390,OK,21,16169228
387,24859,OK,123,16169228
388,75470,OK,353,16169228
389,3848,OK,53,16169228
390,146,OK,6,16169228
391,3835,OK,18,16169228
392,100000,OK,333,16169228
393,127,OK,9,16169228
394,100000,OK,261,16169228
395,100000,OK,349,16169228
396,179,OK,8,16169228
397,5942,OK,23,16169228
398,3168,OK,16,16169228
399,28849,OK,110,16169228
400,8201,OK,36,16169228
401,439,OK,7,16169228
402,27,OK,6,16169228
403,11601,OK,47,16169228
404,2386,OK,14,16169228
405,100000,OK,126,16169228
406,100000,OK,397,16169228
407,783,OK,11,16169228
408,100000,OK,394,16170284
409,61698,OK,176,16170284
410,24629,OK,141,16170284
411,100000,OK,339,16170284
412,1973,OK,14,16170284
413,100000,OK,324,16170284
414,693,OK,10,16170284
415,28848,OK,119,16170284
416,100000,OK,353,16170544
417,2938,OK,18,16170544
418,644,OK,8,16170544
419,30,OK,43332,16202556
420,100000,OK,411,16202556
421,100000,OK,287,16202556
422,100000,OK,232,16202556
423,26817,OK,332,16204604
424,78689,OK,1011,16246020
425,38715,OK,55,16246020
426,24598,OK,57,16246020
427,100000,OK,123,16246020
428,100000,OK,140,16250116
429,227,OK,46,16250116
430,6997,OK,23,16250116
431,0,OK,28,16250116
432,100000,OK,135,16252164
433,121,OK,33,16252164
434,10807,OK,70,16254212
435,40612,OK,82,16254212
436,13698,OK,33,16254212
437,14188,OK,55,16254212
438,15692,OK,38,16254212
439,100000,OK,121,16254212
440,40274,OK,144,16254212
441,9132,OK,52,16254212
442,33,OK,6,16254212
443,100000,OK,93,16254212
444,224,OK,7,16254212
445,100000,OK,127,16254212
446,0,OK,21,16254212
447,100000,OK,249,16254212
448,100000,OK,149,16256260
449,100000,OK,111,16256260
450,100000,OK,138,16256260
451,100000,OK,241,16256260
452,100000,OK,152,16256260
453,100000,OK,148,16256260
454,100000,OK,184,16256260
455,623,OK,9,16256260
456,6603,OK,48,16256260
457,54309,OK,74,16256260
458,100000,OK,144,16261872
459,100000,OK,119,16261872
460,58404,OK,159,16261872
461,100000,OK,135,16261872
462,100000,OK,174,16263920
463,100000,OK,356,16263920
464,100000,OK,182,16268016
465,250,OK,15,16268016
466,3172,OK,15,16268016
467,40641,OK,70,16268016
468,75658,OK,127,16270064
469,25297,OK,31,16270064
470,100000,OK,238,16273632
471,19764,OK,29,16273632
472,100000,OK,99,16274160
473,100000,OK,201,16278256
474,4,OK,40,16278256
475,100000,OK,156,16278256
476,3849,OK,50,16278256
477,100000,OK,352,16278256
478,7072,OK,59,16278256
479,100000,OK,183,16278256
480,100000,OK,186,16282352
481,0,OK,43,16282352
482,15674,OK,47,16282352
483,100000,OK,257,16284400
484,34,OK,7,16284400
485,14950,OK,119,16284400
486,100000,OK,103,16284400
487,100000,OK,265,16284400
488,100000,OK,276,16286448
489,46544,OK,125,16286448
490,100000,OK,121,16286448
491,100000,OK,177,16288496
492,21673,OK,42,16288496
493,15654,OK,26,16288496
494,0,OK,32,16288496
495,5007,OK,48,16288496
496,10669,OK,18,16288496
497,503,OK,18,16288496
498,4757,OK,12,16288496
499,1217,OK,26,16288496
500,100000,OK,184,16288496
501,9804,OK,31,16288496
502,100000,OK,121,16288496
503,100000,OK,194,16290544
504,67395,OK,141,16290544
505,6363,OK,34,16290544
506,4606,OK,36,16290544
507,13685,OK,150,16290544
508,100000,OK,145,16292592
509,44,OK,9,16292592
510,7431,OK,1069,16282812
511,0,OK,7,16282812
512,18895,OK,119,16282812
513,100000,OK,174,16284860
514,100000,OK,195,16284860
515,100000,OK,179,16284860
516,99335,OK,142,16284860
517,100000,OK,127,16284860
518,28466,OK,95,16286908
519,100000,OK,107,16286908
520,100000,OK,172,16286908
521,100000,OK,224,16286908
522,100000,OK,208,16286908
523,100000,OK,200,16286908
524,38542,OK,168,16286908
525,9,OK,7,16286908
526,12049,OK,19,16286908
527,46,OK,19,16286908
528,6312,OK,19,16286908
529,24,OK,5,16286908
530,0,OK,20,16286908
531,3331,OK,10,16286908
532,100000,OK,289,16291576
