query_number,results,status,time,mem[kB]
232,100000,OK,513,13155964
233,100000,OK,281,13164272
234,100000,OK,194,13166384
235,10651,OK,28,13166384
236,1583,OK,61,13166384
237,2137,OK,66,13166384
238,903,OK,8,13166384
239,1174,OK,56,13166384
240,23043,OK,59,13166384
241,38974,OK,106,13166384
242,57427,OK,1162,13168432
243,100000,OK,738,13173572
244,3079,OK,111,13173572
245,2692,OK,12,13173572
246,100000,OK,557,13175620
247,63946,OK,208,13175620
248,31198,OK,310,13177668
249,100000,OK,387,13177668
250,100000,OK,494,13177668
251,6971,OK,131,13177668
252,267,OK,17,13177668
253,100000,OK,309,13177668
254,40411,OK,432,13179716
255,16737,OK,235,13179716
256,100000,OK,1059,13183812
257,100000,OK,329,13183812
258,328,OK,45,13183812
259,100000,OK,600,13185860
260,57782,OK,320,13190008
261,853,OK,27,13190008
262,791,OK,31,13190008
263,5457,OK,100,13190008
264,17017,OK,421,13192056
265,100000,OK,693,13192056
266,100000,OK,283,13192056
267,1984,OK,12,13192056
268,42,OK,9,13192056
269,1827,OK,10,13192056
270,415,OK,37,13192056
271,861,OK,29,13192056
272,570,OK,7,13192056
273,14544,OK,28,13192056
274,5924,OK,122,13194104
275,100000,OK,620,13199844
276,100000,OK,492,13201892
277,6131,OK,99,13201892
278,10685,OK,141,13201892
279,3665,OK,31,13201892
280,1514,OK,33,13201892
281,8841,OK,255,13203940
282,17465,OK,161,13203940
283,4895,OK,79,13203940
284,134,OK,6,13203940
285,9210,OK,213,13205988
286,21463,OK,221,13205988
287,2356,OK,27,13205988
288,23956,OK,59,13205988
289,3353,OK,33,13205988
290,100000,OK,228,13205988
291,57426,OK,191,13205988
292,6660,OK,21,13205988
293,7348,OK,23,13205988
294,3078,OK,13,13205988
295,31197,OK,90,13205988
296,100000,OK,350,13205988
297,1783,OK,42,13205988
298,12106,OK,25,13205988
299,8277,OK,116,13205988
300,89383,OK,199,13205988
301,12385,OK,30,13205988
302,100000,OK,439,13210084
303,1591,OK,10,13210084
304,100000,OK,929,13212132
305,23955,OK,57,13212132
306,49734,OK,208,13212132
307,0,OK,59546,13732392
308,100000,OK,148,13732392
309,42300,OK,399,13734440
310,89383,OK,210,13734440
311,100000,OK,299,13734440
312,57781,OK,146,13734440
313,100000,OK,768,13738328
314,100000,OK,408,13742424
315,100000,OK,629,13745496
316,2680,OK,36,13745496
317,100000,OK,183,13745496
318,8135,OK,190,13759404
319,100000,OK,1132,13771692
320,1,OK,42,13771692
321,100000,OK,251,13775788
322,100000,OK,865,13783980
323,128,OK,32,13783980
324,959,OK,38,13783980
325,100000,OK,2127,13794220
326,107,OK,13,13794220
327,316,OK,41,13794220
328,1051,OK,32,13794220
329,383,OK,42,13796268
330,116,OK,6,13796268
331,997,OK,31,13796268
332,206,OK,8,13796268
333,96,OK,7,13796268
334,100000,OK,794,13796268
335,1142,OK,38,13796268
336,409,OK,34,13796268
337,268,OK,8,13796268
338,100000,OK,787,13796268
339,100000,OK,1124,13804460
340,235,OK,11,13804460
341,100000,OK,1949,13810604
342,26206,OK,652,13812652
343,13517,OK,111,13812652
344,3182,OK,18,13812912
345,28872,OK,233,13812912
346,100000,OK,656,13812912
347,100000,OK,651,13819056
348,75,OK,7,13819056
349,100000,OK,586,13823152
350,100000,OK,328,13830140
351,100000,OK,203,13830140
352,100000,OK,170,13830140
353,100000,OK,213,13832188
354,100000,OK,189,13832188
355,100000,OK,127,13834748
356,100000,OK,166,13838844
357,100000,OK,134,13840892
358,100000,OK,321,13840892
359,192,OK,472,13842940
360,10047,OK,783,13844988
361,14707,OK,889,13851132
362,1704,OK,93,13851132
363,100000,OK,3983,13882096
364,100000,OK,342,13884144
365,53,OK,130,13884144
366,100000,OK,17567,13888760
367,601,OK,152,13888760
368,5856,OK,26,13888760
369,100000,OK,651,13888760
370,4086,OK,22,13888760
371,30030,OK,130,13888760
372,239,OK,7,13888760
373,100000,OK,331,13888760
374,789,OK,11,13888760
375,269,OK,7,13888760
376,900,OK,17,13888760
377,13,OK,33,13888760
378,59,OK,13,13888760
379,289,OK,6,13888760
