query_number,results,status,time,mem[kB]
232,100000,OK,511,14789072
233,100000,OK,240,14791120
234,100000,OK,170,14793168
235,11028,OK,28,14793168
236,1584,OK,73,14793168
237,2145,OK,83,14793168
238,903,OK,8,14793168
239,1175,OK,57,14793168
240,25018,OK,64,14793168
241,45997,OK,342,14793168
242,60370,OK,1563,14797264
243,100000,OK,744,14799312
244,9075,OK,196,14799312
245,2697,OK,12,14799312
246,100000,OK,531,14803408
247,100000,OK,302,14803408
248,31706,OK,445,14803408
249,100000,OK,305,14803408
250,100000,OK,450,14803408
251,7202,OK,116,14805456
252,267,OK,7,14805456
253,100000,OK,289,14805456
254,53236,OK,480,14807504
255,18018,OK,276,14807504
256,100000,OK,974,14809552
257,100000,OK,310,14809552
258,328,OK,21,14809552
259,100000,OK,619,14813648
260,60664,OK,419,14813648
261,855,OK,41,14813648
262,791,OK,27,14813648
263,7310,OK,117,14813648
264,18662,OK,603,14815696
265,100000,OK,537,14817744
266,100000,OK,261,14817744
267,2016,OK,11,14817744
268,42,OK,17,14817744
269,1993,OK,11,14817744
270,415,OK,44,14817744
271,863,OK,8,14817744
272,570,OK,7,14817744
273,14819,OK,27,14817744
274,7657,OK,125,14817744
275,100000,OK,583,14821840
276,100000,OK,489,14821840
277,7112,OK,119,14821840
278,11245,OK,200,14823888
279,3667,OK,54,14823888
280,1521,OK,22,14823888
281,9811,OK,307,14823888
282,18192,OK,223,14825936
283,5018,OK,107,14825936
284,137,OK,6,14825936
285,9415,OK,200,14825936
286,21566,OK,252,14827984
287,2356,OK,39,14827984
288,33658,OK,274,14827984
289,3359,OK,23,14827984
290,100000,OK,591,14827984
291,60369,OK,170,14827984
292,15007,OK,38,14827984
293,23016,OK,189,14830032
294,9074,OK,27,14830032
295,31705,OK,68,14830032
296,100000,OK,312,14830032
297,1784,OK,24,14830032
298,12159,OK,23,14830032
299,10321,OK,157,14830032
300,91716,OK,188,14830032
301,13423,OK,31,14830032
302,100000,OK,371,14832080
303,1592,OK,9,14832080
304,100000,OK,1007,14836176
305,33657,OK,79,14836176
306,77815,OK,321,14836176
307,51,OK,57881,15405692
308,100000,OK,135,15406212
309,44109,OK,459,15408260
310,91716,OK,186,15408260
311,100000,OK,310,15408260
312,60663,OK,144,15408260
313,100000,OK,759,15412356
314,100000,OK,392,15414404
315,100000,OK,666,15416452
316,2691,OK,13,15416452
317,100000,OK,180,15416964
318,8199,OK,183,15427204
319,100000,OK,1126,15439492
320,1,OK,46,15439492
321,100000,OK,246,15443588
322,100000,OK,876,15451828
323,130,OK,29,15453876
324,970,OK,55,15453876
325,100000,OK,2558,15470260
326,107,OK,13,15470260
327,316,OK,47,15470260
328,1051,OK,73,15470260
329,383,OK,56,15470260
330,116,OK,8,15470260
331,1028,OK,92,15470260
332,206,OK,38,15470260
333,96,OK,29,15470260
334,100000,OK,811,15472308
335,1142,OK,23,15472308
336,409,OK,29,15472308
337,268,OK,53,15472308
338,100000,OK,532,15472308
339,100000,OK,1041,15482548
340,235,OK,12,15482548
341,100000,OK,1810,15482548
342,100000,OK,921,15486644
343,13740,OK,78,15486644
344,6025,OK,27,15486644
345,100000,OK,671,15486644
346,100000,OK,597,15486644
347,100000,OK,573,15492788
348,75,OK,7,15492788
349,100000,OK,543,15498932
350,100000,OK,364,15500980
351,100000,OK,262,15505076
352,100000,OK,171,15506072
353,100000,OK,249,15508120
354,100000,OK,172,15508120
355,100000,OK,99,15510168
356,100000,OK,156,15514264
357,100000,OK,110,15516312
358,100000,OK,269,15518360
359,215,OK,394,15520408
360,10336,OK,847,15522456
361,17081,OK,909,15528600
362,1742,OK,116,15528600
363,100000,OK,3972,15560584
364,100000,OK,310,15563932
365,53,OK,141,15563932
366,100000,OK,16347,15565980
367,699,OK,151,15565980
368,9883,OK,62,15565980
369,100000,OK,657,15565980
370,55723,OK,244,15565980
371,100000,OK,403,15565980
372,269,OK,9,15565980
373,100000,OK,299,15565980
