query_number,results,status,time,mem[kB]
270,415,OK,35,40244608
271,863,OK,32,40244608
272,570,OK,7,40244608
273,14819,OK,26,40244608
274,7657,OK,93,40244608
275,100000,OK,389,40248704
276,100000,OK,427,40250752
277,7112,OK,115,40250752
278,11245,OK,334,40055100
279,3667,OK,102,40055100
280,1521,OK,71,40055100
281,9811,OK,327,40057148
282,18192,OK,268,40057148
283,5018,OK,104,40059196
284,137,OK,6,40059196
285,9415,OK,136,40059196
286,21566,OK,240,40059196
287,2356,OK,100,40059196
288,33658,OK,317,40061244
289,3359,OK,38,40061244
290,100000,OK,596,40061244
291,60369,OK,179,40061244
292,15007,OK,37,40061244
293,23016,OK,152,40061244
294,9074,OK,25,40061244
295,31705,OK,73,40061244
296,100000,OK,250,40061244
297,1784,OK,21,40061244
298,12159,OK,23,40061244
299,10321,OK,160,40063292
300,91716,OK,509,40065340
301,13423,OK,140,40043576
302,100000,OK,191,40043576
303,1592,OK,9,40043576
304,100000,OK,806,40047672
305,33657,OK,75,40047672
306,77815,OK,383,40047672
307,51,OK,55772,40651708
308,100000,OK,133,40651708
309,44109,OK,440,40653756
310,91716,OK,183,40653756
311,100000,OK,192,40653756
312,60663,OK,146,40653756
313,100000,OK,602,40655804
314,100000,OK,771,40679336
315,100000,OK,818,40698468
316,2691,OK,13,40698468
317,100000,OK,175,40700516
318,8199,OK,194,40717864
319,100000,OK,958,40730152
320,1,OK,37,40730152
321,100000,OK,245,40732200
322,100000,OK,836,40740392
323,130,OK,13,40740392
324,970,OK,47,40740392
325,100000,OK,2020,40750632
326,107,OK,12,40750632
327,316,OK,54,40750632
328,1051,OK,33,40752680
329,383,OK,11,40752680
330,116,OK,8,40752680
331,1028,OK,72,40752680
332,206,OK,10,40752680
333,96,OK,71,40752680
334,100000,OK,1096,40760872
335,1142,OK,22,40760872
336,409,OK,27,40760872
337,268,OK,10,40760872
338,100000,OK,467,40760872
339,100000,OK,808,40769064
340,235,OK,12,40769064
341,100000,OK,1853,40769064
342,100000,OK,578,40728756
343,13740,OK,106,40728756
344,6025,OK,58,40730804
345,100000,OK,530,40730804
346,100000,OK,438,40730804
347,100000,OK,848,40753620
348,75,OK,7,40753620
349,100000,OK,420,40759980
350,100000,OK,83,40760768
351,100000,OK,97,40760768
352,100000,OK,170,40760768
353,100000,OK,94,40762816
354,100000,OK,90,40762816
355,100000,OK,84,40762816
356,100000,OK,190,40764864
357,100000,OK,125,40769216
358,100000,OK,273,40769216
359,215,OK,414,40771264
360,10336,OK,886,40773312
361,17081,OK,994,40779664
362,1742,OK,101,40779664
363,100000,OK,4251,40810384
364,100000,OK,301,40814480
365,53,OK,162,40814480
366,100000,OK,730,40814480
367,699,OK,11,40814480
368,9883,OK,40,40814480
369,100000,OK,316,40814480
370,55723,OK,222,40814480
371,100000,OK,282,40814480
372,269,OK,9,40814480
373,100000,OK,282,40814480
374,894,OK,11,40814480
375,281,OK,14,40814480
376,1443,OK,10,40814480
377,13,OK,26,40814480
378,59,OK,12,40814480
379,322,OK,7,40814480
380,100000,OK,244,40814480
381,537,OK,9,40814480
382,1054,OK,8,40814480
383,59,OK,5,40814480
384,623,OK,7,40814480
385,1412,OK,10,40814480
386,575,OK,43,40814480
387,52957,OK,307,40814480
388,100000,OK,477,40814480
389,10181,OK,61,40814480
390,458,OK,8,40814480
391,7843,OK,31,40814480
392,100000,OK,291,40814480
393,145,OK,8,40814480
394,100000,OK,253,40814480
395,100000,OK,294,40814480
396,195,OK,8,40814480
397,11904,OK,41,40814480
398,7959,OK,28,40814480
399,100000,OK,365,40814480
400,36609,OK,184,40814480
401,641,OK,9,40814480
402,27,OK,6,40814480
403,30222,OK,151,40814480
404,9442,OK,36,40814480
405,100000,OK,20630,40814480
406,100000,OK,686,40814480
407,813,OK,13,40814480
408,100000,OK,348,40814480
409,69941,OK,195,40817380
410,58904,OK,277,40817380
411,100000,OK,302,40817380
412,4097,OK,20,40817380
413,100000,OK,298,40817380
414,746,OK,11,40817380
415,100000,OK,376,40817380
416,100000,OK,316,40817380
417,13456,OK,57,40817380
418,883,OK,9,40817380
419,21,TIMEOUT,60000,40822128
420,100000,OK,680,40822128
421,100000,OK,270,40822128
422,100000,OK,226,40822128
423,26821,OK,352,40824176
424,100000,OK,207,40826224
425,38729,OK,60,40826224
426,24605,OK,56,40826224
427,100000,OK,105,40826224
428,100000,OK,92,40826224
429,227,OK,24,40826224
430,6997,OK,21,40826224
431,0,OK,31,40826224
432,100000,OK,92,40826224
433,121,OK,36,40826224
434,11011,OK,28,40826224
435,40632,OK,68,40826224
436,13707,OK,31,40826224
437,14188,OK,31,40826224
438,15692,OK,27,40826224
439,100000,OK,144,40826224
440,40276,OK,64,40826224
441,9313,OK,23,40826224
442,33,OK,6,40826224
443,100000,OK,103,40826224
444,224,OK,7,40826224
445,100000,OK,119,40826224
446,0,OK,24,40826224
447,100000,OK,259,40826224
448,100000,OK,134,40826224
449,100000,OK,113,40826224
450,100000,OK,142,40826224
451,100000,OK,252,40826224
452,100000,OK,135,40826224
453,100000,OK,121,40826224
454,100000,OK,179,40826224
455,644,OK,8,40826224
456,6849,OK,53,40826224
457,55831,OK,64,40826224
458,100000,OK,125,40827012
459,100000,OK,103,40827012
460,64726,OK,156,40827012
461,100000,OK,148,40827012
462,100000,OK,136,40827012
463,100000,OK,289,40828588
464,100000,OK,130,40828588
465,287,OK,69,40828588
466,6300,OK,18,40828588
467,49766,OK,75,40828588
468,84356,OK,84,40828588
469,26170,OK,27,40828588
470,100000,OK,234,40828588
471,19764,OK,26,40828588
472,100000,OK,91,40828588
473,100000,OK,159,40828588
474,4,OK,26,40828588
475,100000,OK,155,40828588
476,3881,OK,42,40828588
477,100000,OK,260,40828588
478,7099,OK,39,40828588
479,100000,OK,156,40828588
480,100000,OK,148,40828588
481,0,OK,20,40828588
482,15786,OK,33,40828588
483,100000,OK,171,40830636
484,34,OK,7,40830636
485,16561,OK,53,40830636
486,100000,OK,88,40830636
487,100000,OK,156,40830636
488,100000,OK,197,40830636
489,50025,OK,79,40830636
490,100000,OK,106,40830636
491,100000,OK,154,40830636
492,23200,OK,38,40830636
493,15749,OK,24,40830636
494,0,OK,26,40830636
495,8891,OK,22,40830636
496,10850,OK,19,40830636
497,503,OK,34,40830636
498,6719,OK,14,40830636
499,1298,OK,23,40830636
500,100000,OK,138,40830636
501,9807,OK,16,40830636
502,100000,OK,122,40830636
503,100000,OK,158,40830636
504,69569,OK,114,40830636
505,9941,OK,47,40830636
506,4619,OK,30,40830636
507,32333,OK,1178,40830636
508,100000,OK,116,40830636
509,50,OK,10,40830636
510,7431,OK,785,40877564
511,0,OK,6,40877564
512,30642,OK,221,40877564
513,100000,OK,145,40877564
514,100000,OK,161,40877564
515,100000,OK,163,40877564
516,100000,OK,125,40877564
517,100000,OK,115,40877564
518,29521,OK,39,40877564
519,100000,OK,106,40877564
520,100000,OK,160,40877564
521,100000,OK,153,40877564
522,100000,OK,191,40877564
523,100000,OK,177,40877564
524,45251,OK,209,40877564
525,9,OK,7,40877564
526,13119,OK,19,40877564
527,46,OK,32,40877564
528,6760,OK,21,40877564
529,24,OK,6,40877564
530,0,OK,23,40877564
531,3394,OK,10,40877564
532,100000,OK,270,40877564
533,456,OK,35,40877564
534,419,OK,36,40877564
535,100000,OK,107,40877564
536,62635,OK,108,40877564
537,100000,OK,169,40877564
538,100000,OK,122,40877564
539,18635,OK,37,40877564
540,100000,OK,178,40877564
541,100000,OK,100,40877564
542,8160,OK,18,40877564
543,390,OK,23,40877564
544,1980,OK,8,40877564
545,100000,OK,155,40877564
546,38556,OK,71,40877564
547,100000,OK,139,40877564
548,17512,OK,27,40877564
549,48550,OK,70,40877564
550,100000,OK,86,40877564
551,100000,OK,111,40879412
552,100000,OK,138,40879412
553,100000,OK,111,40879412
554,100000,OK,103,40879412
555,40271,OK,41,40879412
556,100000,OK,112,40879412
557,100000,OK,144,40879412
558,100000,OK,175,40879412
559,126,OK,7,40879412
560,35640,OK,65,40879412
561,100000,OK,89,40879412
562,100000,OK,199,40879412
563,80192,OK,122,40879412
564,7336,OK,15,40879412
565,100000,OK,147,40879412
566,89428,OK,198,40879412
567,223,OK,7,40879412
568,66365,OK,121,40879412
569,100000,OK,81,40879412
570,100000,OK,169,40879412
571,797,OK,9,40879412
572,11258,OK,24,40879412
573,100000,OK,190,40879412
574,100000,OK,134,40879412
575,100000,OK,208,40879412
576,0,OK,8,40879412
577,5096,OK,15,40879412
578,60812,OK,228,40879412
579,100000,OK,197,40879412
580,100000,OK,109,40879412
581,100000,OK,247,40917424
582,100000,OK,108,40917424
583,51060,OK,56,40917424
584,100000,OK,172,40917424
585,100000,OK,158,40917424
586,100000,OK,258,40917424
587,28299,OK,68,40917424
588,100000,OK,185,40917424
589,100000,OK,155,40917424
590,100000,OK,128,40917424
591,100000,OK,84,40917424
592,100000,OK,138,40917424
593,68115,OK,160,40917424
594,111,OK,7,40917424
595,14042,OK,24,40917424
596,15042,OK,23,40917424
597,100000,OK,236,40920852
598,100000,OK,171,40920852
599,1612,OK,9,40920852
600,0,OK,6,40920852
601,100000,OK,437,40920852
602,100000,OK,130,40920852
603,100000,OK,181,40920852
604,28905,OK,257,40920852
605,100000,OK,175,40920852
606,100000,OK,207,40922900
607,3876,OK,12,40922900
608,100000,OK,107,40922900
609,100000,OK,91,40922900
610,83089,OK,130,40922900
611,4536,OK,13,40922900
612,100000,OK,148,40922900
613,100000,OK,154,40922900
614,1778,OK,9,40922900
615,0,OK,6,40922900
616,7641,OK,32,40922900
617,100000,OK,181,40922900
618,19802,OK,33,40922900
619,50224,OK,77,40922900
620,4890,OK,20,40922900
621,100000,OK,147,40922900
622,100000,OK,379,40922900
623,100000,OK,987,40933140
624,100000,OK,123,40933140
625,35640,OK,56,40933140
626,100000,OK,84,40933140
627,14040,OK,23,40933140
628,78,OK,6,40933140
629,31,OK,6,40933140
630,100000,OK,220,40933140
631,436,OK,380,40933140
632,16,OK,28,40933140
633,100000,OK,2120,40943380
634,5262,OK,222,40943380
635,100000,OK,672,40943380
636,14775,OK,176,40945428
637,8,OK,58,40945428
638,5355,OK,280,40949524
639,140,OK,39,40949524
640,100000,OK,904,40949524
641,20015,OK,451,40949524
642,100000,OK,843,40949524
643,100000,OK,996,40949524
644,100000,OK,856,40949524
645,0,TIMEOUT,60000,46977556
646,100000,OK,251,46977556
647,100000,OK,277,46979604
648,100000,OK,401,46985748
649,47609,OK,285,46987796
650,100000,OK,269,46989844
651,216,OK,89,46989844
652,100000,OK,506,46993940
653,100000,OK,6247,47008276
654,100000,OK,3454,47078080
655,40561,TIMEOUT,60000,47143616
656,100000,OK,1050,47143616
657,100000,OK,878,47143616
658,100000,OK,951,47143616
659,100000,OK,906,47143616
660,100000,OK,267,47145664
