query_number,results,status,time,mem[kB]
230,10634,OK,21,14858224
231,100000,OK,115,14858224
232,100000,OK,833,14858224
233,100000,OK,262,14862320
234,100000,OK,203,14862320
235,10651,OK,29,14862320
236,1583,OK,64,14862320
237,2137,OK,75,14862320
238,903,OK,7,14862320
239,1174,OK,67,14862320
240,23043,OK,63,14862320
241,38974,OK,110,14862320
242,57427,OK,1161,14866472
243,100000,OK,726,14870568
244,3079,OK,129,14870568
245,2692,OK,12,14870568
246,100000,OK,522,14872616
247,63946,OK,249,14872616
248,31198,OK,344,14874664
249,100000,OK,487,14874664
250,100000,OK,508,14874664
251,6971,OK,156,14874664
252,267,OK,16,14874664
253,100000,OK,322,14874664
254,40411,OK,426,14877496
255,16737,OK,277,14877496
256,100000,OK,972,14881592
257,100000,OK,341,14881592
258,328,OK,35,14881592
259,100000,OK,587,14883640
260,57782,OK,327,14885688
261,853,OK,27,14885688
262,791,OK,32,14885688
263,5457,OK,76,14885688
264,17017,OK,413,14887736
265,100000,OK,743,14889844
266,100000,OK,297,14891152
267,1984,OK,13,14891152
268,42,OK,6,14891152
269,1827,OK,19,14891152
270,415,OK,44,14891152
271,861,OK,28,14891152
272,570,OK,7,14891152
273,14544,OK,28,14891152
274,5924,OK,122,14893200
275,100000,OK,640,14896568
276,100000,OK,562,14898616
277,6131,OK,47,14898616
278,10685,OK,163,14898616
279,3665,OK,25,14898616
280,1514,OK,31,14898616
281,8841,OK,239,14900664
282,17465,OK,180,14900664
283,4895,OK,60,14900664
284,134,OK,7,14900664
285,9210,OK,237,14902712
286,21463,OK,273,14902712
287,2356,OK,22,14902712
288,23956,OK,64,14902712
289,3353,OK,28,14902712
290,100000,OK,266,14902712
291,57426,OK,190,14902712
292,6660,OK,25,14902712
293,7348,OK,32,14902712
294,3078,OK,16,14902712
295,31197,OK,72,14902712
296,100000,OK,454,14902712
297,1783,OK,21,14902712
298,12106,OK,25,14902712
299,8277,OK,116,14902712
300,89383,OK,181,14902712
301,12385,OK,32,14902712
302,100000,OK,414,14906808
303,1591,OK,9,14906808
304,100000,OK,971,14908856
305,23955,OK,61,14908856
306,49734,OK,229,14908856
307,46,OK,57035,15465760
308,100000,OK,140,15465760
309,42300,OK,427,15465760
310,89383,OK,223,15467872
311,100000,OK,307,15467872
312,57781,OK,155,15467872
313,100000,OK,737,15471968
314,100000,OK,441,15474016
315,100000,OK,535,15476064
316,2680,OK,38,15476064
317,100000,OK,178,15476064
318,8135,OK,158,15488352
319,100000,OK,1156,15500640
320,1,OK,75,15500640
321,100000,OK,235,15502688
322,100000,OK,923,15510880
323,128,OK,24,15510880
324,959,OK,64,15510880
325,100000,OK,2168,15523168
326,107,OK,12,15523168
327,316,OK,31,15523168
328,1051,OK,35,15523168
329,383,OK,10,15523168
330,116,OK,6,15523168
331,997,OK,72,15523168
332,206,OK,8,15523168
333,96,OK,7,15523168
334,100000,OK,751,15525216
335,1142,OK,41,15525216
336,409,OK,9,15525216
337,268,OK,8,15525216
338,100000,OK,897,15525216
339,100000,OK,998,15533408
340,235,OK,11,15533408
341,100000,OK,4622,15539552
342,26206,OK,859,15541600
343,13517,OK,117,15541600
344,3182,OK,20,15541600
345,28872,OK,1765,15541600
346,100000,OK,616,15541600
