query_number,query,results,status,exec_time_ms,enum_time_ms
22,"MATCH p=(:N{id:""N2937""})-[:E*1..42]->(:N{id:""N3000""}) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
23,"MATCH p=(:N{id:""N2934""})-[:E*1..44]->(:N{id:""N3000""}) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
24,"MATCH p=(:N{id:""N2931""})-[:E*1..46]->(:N{id:""N3000""}) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
25,"MATCH p=(:N{id:""N2928""})-[:E*1..48]->(:N{id:""N3000""}) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
26,"MATCH p=(:N{id:""N2925""})-[:E*1..50]->(:N{id:""N3000""}) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
27,"MATCH p=(:N{id:""N2922""})-[:E*1..52]->(:N{id:""N3000""}) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
28,"MATCH p=(:N{id:""N2919""})-[:E*1..54]->(:N{id:""N3000""}) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
29,"MATCH p=(:N{id:""N2916""})-[:E*1..56]->(:N{id:""N3000""}) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
30,"MATCH p=(:N{id:""N2913""})-[:E*1..58]->(:N{id:""N3000""}) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
31,"MATCH p=(:N{id:""N2910""})-[:E*1..60]->(:N{id:""N3000""}) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
32,"MATCH p=(:N{id:""N2907""})-[:E*1..62]->(:N{id:""N3000""}) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
33,"MATCH p=(:N{id:""N2904""})-[:E*1..64]->(:N{id:""N3000""}) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
34,"MATCH p=(:N{id:""N2901""})-[:E*1..66]->(:N{id:""N3000""}) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
35,"MATCH p=(:N{id:""N2898""})-[:E*1..68]->(:N{id:""N3000""}) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
36,"MATCH p=(:N{id:""N2895""})-[:E*1..70]->(:N{id:""N3000""}) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
37,"MATCH p=(:N{id:""N2892""})-[:E*1..72]->(:N{id:""N3000""}) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
38,"MATCH p=(:N{id:""N2889""})-[:E*1..74]->(:N{id:""N3000""}) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
39,"MATCH p=(:N{id:""N2886""})-[:E*1..76]->(:N{id:""N3000""}) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
40,"MATCH p=(:N{id:""N2883""})-[:E*1..78]->(:N{id:""N3000""}) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
41,"MATCH p=(:N{id:""N2880""})-[:E*1..80]->(:N{id:""N3000""}) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
