query_number,query,results,status,exec_time_ms,enum_time_ms
32,"MATCH p=(:N{id:""N2907""})-[:E*ALLSHORTEST 62 (r n | 1)]->(:N{id:""N3000""}) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
33,"MATCH p=(:N{id:""N2904""})-[:E*ALLSHORTEST 64 (r n | 1)]->(:N{id:""N3000""}) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
34,"MATCH p=(:N{id:""N2901""})-[:E*ALLSHORTEST 66 (r n | 1)]->(:N{id:""N3000""}) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
35,"MATCH p=(:N{id:""N2898""})-[:E*ALLSHORTEST 68 (r n | 1)]->(:N{id:""N3000""}) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
36,"MATCH p=(:N{id:""N2895""})-[:E*ALLSHORTEST 70 (r n | 1)]->(:N{id:""N3000""}) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
37,"MATCH p=(:N{id:""N2892""})-[:E*ALLSHORTEST 72 (r n | 1)]->(:N{id:""N3000""}) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
38,"MATCH p=(:N{id:""N2889""})-[:E*ALLSHORTEST 74 (r n | 1)]->(:N{id:""N3000""}) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
39,"MATCH p=(:N{id:""N2886""})-[:E*ALLSHORTEST 76 (r n | 1)]->(:N{id:""N3000""}) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
40,"MATCH p=(:N{id:""N2883""})-[:E*ALLSHORTEST 78 (r n | 1)]->(:N{id:""N3000""}) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
41,"MATCH p=(:N{id:""N2880""})-[:E*ALLSHORTEST 80 (r n | 1)]->(:N{id:""N3000""}) RETURN p LIMIT 100000",0,TIMEOUT,-1,-1
